id,university_name
1,Acharya N.G. Ranga Agricultural University
2,Acharya Nagarjuna University
3,Adikavi Nannaya University
4,Andhra Kesari University
5,Andhra University
6,Bharatiya Engineering Science and Technology Innovation University
7,Central University of Andhra Pradesh
8,Central Tribal University of Andhra Pradesh
9,Centurion University of Technology and Management
10,Cluster University
11,Damodaram Sanjivayya National Law University
12,Dr. Abdul Haq Urdu University
13,Dr. B.R. Ambedkar University
14,Dravidian University
15,Dr. Y.S.R Architecture and Fine Arts University
16,Dr. Y.S.R. Horticultural University
17,Dr. N.T.R. University of Health Sciences (Formerly Andhra Pradesh University of Health Sciences)
18,Gandhi Institute of Technology and Management (GITAM)
19,Jawaharlal Nehru Technological University
20,Jawaharlal Nehru Technological University - Gurajada
21,Koneru Lakshmaiah Education Foundation
22,KREA University
23,Krishna University
24,Rajiv Gandhi University of Knowledge Technologies Andhra Pradesh
25,Rayalaseema University
26,Saveetha Amaravati University
27,Sri Krishnadevaraya University
28,Sri Padmavati Mahila Vishwavidyalayam
29,Sri Sathya Sai Institute of Higher Learning
30,Sri Venkateswara University
31,Sri Venkateswara Vedic University
32,Sri Venkateswara Veterinary University
33,Sri Venkateswara Institute of Medical Sciences
34,SRM University
35,The National Sanskrit University
36,Vignan's Foundation for Science
37,Vikrama Simhapuri University
38,VIT-AP University
39,Yogi Vemana University
40,Apex Professional University
41,Arunachal University of Studies
42,Arunachal Pradesh University
43,Arunodaya University
44,Himalayan University
45,North East Frontier Technical University
46,North Eastern Regional Institute of Science & Technology
47,Rajiv Gandhi University
48,The Global University
49,The Indira Gandhi Technological & Medical Sciences University
50,Venkateshwara Open University
51,Assam Agricultural University
52,Assam Don Bosco University
53,Assam Down Town University
54,Assam University
55,Assam Rajiv Gandhi University of Co-operative Management
56,Assam Science & Technology University
57,Assam Women’s University
58,Birangana Sati Sadhani Rajyik Vishwavidyalaya
59,Bodoland University
60,Bhattadev University
61,Cotton Univeristy
62,Central Institute of Technology (CIT)
63,Dibrugarh University
64,Gauhati University
65,Girijananda Chowdhury University Assam
66,Krishna Kanta Handiqui State Open University (Formerly Krishna Kanta Handique State Open University)
67,Kumar Bhaskar Varma Sanskrit & Ancient Studies University
68,Krishnaguru Adhyatmik Visvavidyalaya
69,Madhabdev University
70,Mahapurusha Srimanta Sankaradeva Viswavidyalaya
71,Majuli University of Culture
72,National Law University and Judicial Academy
73,Pragjyotishpur University
74,Rabindranath Tagore University
75,Srimanta Sankaradeva University of Health Sciences
76,Sri Sri Anirudhadeva Sports University
77,Tezpur University
78,The Assam Kaziranga University
79,The Assam Royal Global University
80,Amity University
81,Aryabhatta knowledge University
82,Babasaheb Bhimrao Ambedkar Bihar University
83,Bhupendra Narayan Mandal University
84,Bihar Agricultural University
85,Bihar Animal Sciences University
86,Central University of South Bihar
87,Chanakya National Law University
88,Dr. C.V. Raman University
89,Gopal Narayan Singh University
90,Jai Prakash Vishwavidyalaya
91,Kameshwara Singh Darbhanga Sanskrit Vishwavidyalaya
92,K.K. University
93,Lalit Narayan Mithila University
94,Magadh University
95,Mahatma Gandhi Central University
96,Mata Gujri University
97,Maulana Mazharul Haque Arabic & Persian University
98,Munger University
99,Nalanda University
100,Nalanda Open University
101,Nava Nalanda Mahavihara
102,Patna University
103,Patliputra University
104,Purnea University
105,Dr. Rajendra Prasad Central Agricultural University
106,Sandip University
107,T.M. University
108,Veer Kunwar Singh University
109,Al-Karim University
110,AAFT University of Media and Arts
111,Ayush and Health Sciences University of Chhattisgarh
112,Bharti Vishwavidyalaya
113,Atal Bihari Vajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya)
114,Chhattisgarh Kamdhenu Vishwavidyalaya
115,Chhattisgarh Swami Vivekanand Technical University
116,Dev Sanskriti Vishwavidyalaya
117,Durg Vishwavidyalaya
118,Guru Ghasidas Vishwavidyalaya
119,Hidayatullah National Law University
120,ICFAI University
121,International Institute of Information Technology
122,ISBM University
123,Indira Gandhi Krishi Vishwavidyalaya
124,Indira Kala Sangeet Vishwavidyalaya
125,ITM University
126,K.K. Modi University
127,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya
128,Kalinga University
129,Maharishi University of Management and Technology
130,Mahatma Gandhi Udyanikee Evam Vanikee Vishwavidyalaya
131,MATS University
132,O.P. Jindal University
133,Pt. Ravishankar Shukla University
134,Pandit Sundar Lal Sharma (Open) University Chhatisgarh
135,Sant Gahira Guru Vishwavidyalaya (formerly Sarguja University)
136,Shaheed Mahendra Karma Vishwavidyalaya
137,Shaheed Nandkumar Patel Vishwavidyalaya
138,Shri Rawatpura Sarkar University
139,Shri Shankaracharaya Professional University
140,Goa University
141,India International University of Legal Education and Research
142,Adani University
143,Ahmedabad University
144,Anand Agricultural Univerisity
145,Anant National University
146,Atmiya University
147,AURO University of Hospitality and Management
148,Bhagwan Mahavir University
149,Bhaikaka University
150,Bhakta Kavi Narsinh Mehta University
151,Birsa Munda Tribal University
152,Central University of Gujarat
